dataset,model,defender,latency,input tokens,output tokens,energy,full_compliance,full_refusal
oa,llama3,llamaguard,12.26,782.39,496.08,2952.20,99.61,0.39
law,gemma,Self-Exam,9.24,1634.89,153.79,1978.88,95.73,4.27
oa,mistral,llamaguard,12.19,617.70,430.76,2539.88,98.03,1.97
law,gemma,selfParaphrase,5.42,1558.64,87.64,1178.72,100.00,0.00
oa,mistral,PPL,12.98,40.09,266.83,2707.44,56.69,43.31
law,gemma,smoothllm,39.13,8958.44,634.94,8397.42,100.00,0.00
oa,llama3,smoothllm,73.89,402.07,2964.40,17572.00,100.00,0.00
oa,qwen,Retokenization,6.95,103.56,307.00,1715.56,97.64,2.36
math,llama3,Self-Exam,11.72,2231.38,468.27,3175.18,99.48,0.52
xs,deepseek,prioritygoal,8.52,795.63,155.98,848.58,45.56,54.44
xs,qwen,PPL,4.59,29.27,194.73,1206.21,47.56,52.44
math,phi,Self-Exam,14.42,2296.58,422.90,2457.63,98.96,1.04
xs,deepseek,selfdefend,1.79,100.63,30.41,160.95,100.00,0.00
math,qwen,Retokenization,11.68,3998.92,330.35,3213.96,99.93,0.07
math,llama3,Self-Reminder,12.36,1789.42,494.37,3412.73,99.93,0.07
law,deepseek,Self-Exam,9.05,1679.47,159.42,929.50,99.82,0.18
xs,mistral,prioritygoal,5.39,825.30,186.62,1195.88,58.44,41.56
xs,mistral,selfParaphrase,13.96,266.00,491.56,3054.24,91.56,8.44
xs,phi,selfdefend,1.94,103.74,59.40,273.79,100.00,0.00
xs,phi,PPL,14.12,14.73,387.26,1995.99,81.33,18.67
xs,mistral,selfdefend,1.93,104.31,67.72,404.21,96.67,3.33
xs,qwen,Self-Reminder,4.72,64.27,219.71,1248.80,58.89,41.11
oa,phi,prioritygoal,17.20,888.05,490.94,2446.77,97.24,2.76
xs,qwen,llamaguard,4.69,442.00,215.63,1206.59,52.89,47.11
math,phi,PPL,32.82,1882.77,379.75,8962.56,99.70,0.30
xs,qwen,selfdefend,0.76,109.27,35.37,195.35,100.00,0.00
law,phi,llamaguard,6.74,3509.52,186.39,1045.35,1.27,98.73
math,gemma,Self-Exam,16.49,2114.78,288.54,3501.00,99.26,0.74
xs,qwen,base,4.60,29.27,213.62,1200.36,53.11,46.89
xs,phi,base,13.90,14.73,425.30,1979.62,90.44,9.56
xs,llama3,prioritygoal,9.12,790.25,361.02,2209.14,79.78,20.22
xs,qwen,Self-Exam,4.78,287.77,221.79,1243.32,45.33,54.67
xs,llama3,Self-Exam,6.76,333.97,270.70,1567.92,90.00,10.00
oa,qwen,base,7.87,50.20,349.50,1943.71,97.64,2.36
xs,deepseek,selfParaphrase,12.40,64.52,225.36,1174.85,73.11,26.89
xs,qwen,intentionanalysi,3.72,331.81,172.29,970.13,66.22,33.78
xs,llama3,ICD,4.11,98.25,165.00,951.62,99.56,0.44
oa,mistral,Retokenization,9.08,89.31,322.25,1884.48,97.24,2.76
xs,phi,ICD,12.03,62.73,366.95,1698.35,92.22,7.78
xs,gemma,Retokenization,12.34,35.95,229.66,2270.56,55.78,44.22
oa,qwen,llamaguard,8.05,619.07,351.51,1971.60,97.24,2.76
xs,phi,llamaguard,14.05,560.48,427.32,1968.44,90.00,10.00
oa,llama3,prioritygoal,12.44,811.24,496.48,3116.03,100.00,0.00
oa,deepseek,base,25.09,41.92,452.42,2151.51,98.03,1.97
xs,gemma,smoothllm,92.27,158.00,1705.28,17789.24,55.78,44.22
oa,deepseek,smoothllm,150.75,255.23,2732.43,12625.17,98.03,1.97
xs,llama3,selfdefend,0.89,126.25,35.78,204.22,100.00,0.00
oa,llama3,Retokenization,9.46,120.17,381.88,2298.19,99.61,0.39
xs,gemma,ICD,10.84,72.33,200.76,2015.45,59.56,40.44
oa,gemma,base,21.52,37.33,350.83,4081.21,98.03,1.97
xs,phi,Retokenization,10.80,30.49,330.22,1518.08,96.67,3.33
xs,gemma,Self-Exam,13.87,286.93,258.08,2666.92,53.56,46.44
oa,phi,selfdefend,2.28,127.16,65.46,246.70,100.00,0.00
xs,mistral,PPL,7.19,15.30,233.61,1532.62,85.56,14.44
xs,phi,prioritygoal,8.48,864.73,256.76,1281.91,47.11,52.89
oa,phi,PPL,20.15,38.05,342.57,2436.10,55.91,44.09
xs,deepseek,Self-Reminder,10.67,62.63,194.91,1014.28,57.56,42.44
oa,qwen,intentionanalysi,5.60,410.43,245.87,1383.30,92.91,7.09
xs,phi,Self-Reminder,11.78,65.73,359.32,1675.62,78.44,21.56
xs,llama3,PPL,5.78,46.25,205.33,1316.80,89.78,10.22
oa,deepseek,Self-Exam,28.60,530.28,515.47,2410.67,97.24,2.76
xs,deepseek,PPL,10.88,18.63,187.25,1029.87,54.44,45.56
xs,llama3,Self-Reminder,4.75,87.25,189.62,1095.00,99.56,0.44
oa,deepseek,selfParaphrase,25.04,118.49,450.09,2096.89,94.49,5.51
oa,llama3,selfParaphrase,13.69,188.48,553.18,3331.19,99.21,0.79
oa,qwen,ICD,7.31,102.20,322.73,1806.14,98.03,1.97
xs,mistral,Retokenization,7.63,31.54,272.24,1640.28,96.44,3.56
xs,qwen,ICD,4.16,81.27,193.75,1095.94,56.89,43.11
oa,llama3,base,12.23,67.01,494.07,2943.51,100.00,0.00
xs,phi,selfParaphrase,15.48,73.30,472.82,2192.58,88.22,11.78
xs,gemma,prioritygoal,11.39,783.33,210.22,2244.90,59.11,40.89
oa,phi,Self-Exam,21.01,620.00,601.92,2513.41,95.28,4.72
oa,qwen,smoothllm,46.47,305.73,2116.16,11647.83,97.64,2.36
oa,gemma,selfdefend,1.95,118.33,31.84,383.15,99.61,0.39
xs,deepseek,ICD,8.95,67.63,162.06,847.02,54.89,45.11
xs,llama3,Retokenization,6.31,62.60,253.14,1456.07,99.78,0.22
oa,llama3,intentionanalysi,15.66,635.00,626.88,3830.07,97.24,2.76
xs,qwen,smoothllm,31.23,230.24,1452.86,8163.01,53.11,46.89
oa,mistral,intentionanalysi,13.04,508.26,457.50,2736.42,70.47,29.53
oa,gemma,selfParaphrase,22.51,94.07,372.53,4428.40,94.09,5.91
oa,gemma,smoothllm,132.62,228.17,2159.83,26107.98,97.24,2.76
xs,phi,smoothllm,86.99,93.37,2647.66,12059.27,90.44,9.56
oa,llama3,ICD,9.61,119.01,386.41,2342.07,99.61,0.39
xs,gemma,PPL,12.45,20.33,212.12,2298.00,49.33,50.67
oa,phi,ICD,19.03,86.05,546.14,2240.79,98.03,1.97
oa,gemma,prioritygoal,18.50,800.31,300.74,3663.92,97.64,2.36
oa,llama3,PPL,13.20,67.01,306.20,3204.40,57.48,42.52
xs,mistral,Self-Exam,8.65,300.68,304.85,1824.15,88.44,11.56
oa,llama3,Self-Reminder,10.91,108.24,440.44,2676.36,100.00,0.00
oa,deepseek,PPL,27.09,41.92,278.20,2315.35,55.91,44.09
oa,deepseek,selfdefend,2.00,123.92,33.44,167.76,100.00,0.00
oa,qwen,Self-Reminder,8.54,85.42,376.67,2108.28,98.43,1.57
xs,mistral,intentionanalysi,8.60,379.94,300.67,1834.01,81.33,18.67
